title,email,category,reportStage,problemDate,time,text,image,agency,staffemail,process
น้ำท่วม,midoriya@gmail.com,สิ่งแวดล้อม,"in queue",18/10/2565,02:29:55,"บริเวณหน้าคณะวิทยาศาสตร์ มีเหตุการณ์น้ำท่วมขังอยู่บ่อยครั้ง และเป็นติดต่อกันมาหลายสัปดาห์|ถนนหน้าคณะวิทยาศาสตร์","น้ำท่วม_2022-10-18_1666034995911.jpg","หน่วยงานสถานที่และสิ่งแวดล้อม",,
ต้นไม้แห้งตาย,midoriya@gmail.com,สิ่งแวดล้อม,"in queue",18/10/2565,02:35:14,"ต้นไม้บริเวณหลังตึกคณะวิทยาศาสตร์แห้งตายอยู่หลายต้น ไม่มีใครคอยดูแลรดน้ำมาหลายวันแล้ว|หลังตึกคณะวิทยาศาตร์ 45 ปี","ต้นไม้แห้งตาย_2022-10-18_1666035314702.jpg","หน่วยงานสถานที่และสิ่งแวดล้อม",,
ลูกบาสพัง,midoriya@gmail.com,อุปกรณ์กีฬาเสียหาย,"in queue",18/10/2565,02:47:59,"ลูกบาส จาก ศูนย์กีฬา","ลูกบาสพัง_2022-10-18_1666036079454.jpg",สำนักการกีฬา,,
โต๊ะปิงปองพัง,midoriya@gmail.com,อุปกรณ์กีฬาเสียหาย,"in queue",18/10/2565,02:51:26,"โต็ะปองใต้อาคารอาคารจักรพันธ์เพ็ญศิริ","โต๊ะปิงปองพัง_2022-10-18_1666036286523.jpg",สำนักการกีฬา,,
เน็ตขาด,midoriya@gmail.com,อุปกรณ์กีฬาเสียหาย,"in queue",18/10/2565,02:56:21,เน็ตในสนามเทนนิส,"เน็ตขาด_2022-10-18_1666036581317.jpg",สำนักการกีฬา,,
ลูกบอลรั่ว,midoriya@gmail.com,อุปกรณ์กีฬาเสียหาย,"in queue",18/10/2565,03:05:23,ลูกบอลจากศูนย์กีฬา,"ลูกบอลรั่ว_2022-10-18_1666037123403.jpg",สำนักการกีฬา,,
แป้นบาสพัง,midoriya@gmail.com,อุปกรณ์กีฬาเสียหาย,"in queue",18/10/2565,03:08:36,"แป้นบาส ที่ศูนย์กีฬา","แป้นบาสพัง_2022-10-18_1666037316580.jpg",สำนักการกีฬา,,
รถชน,milize@gmail.com,อุบัติเหตุ,"in queue",18/10/2565,04:15:17,ถนนหน้าตึกคณะวิทย์,"รถชน_2022-10-18_1666041317785.jpg","สถานพยาบาล มก.",,
จักรยานยนต์ล่ม,milize@gmail.com,อุบัติเหตุ,"in queue",18/10/2565,04:17:42,หน้าศูนย์กีฬา,"จักรยานยนต์ล่ม_2022-10-18_1666041462162.jpg","สถานพยาบาล มก.",,
กระบถหลุดโค้ง,milize@gmail.com,อุบัติเหตุ,"in queue",18/10/2565,04:21:37,หน้าคณะวิศวะ,"กระบถหลุดโค้ง_2022-10-18_1666041697665.jpg","สถานพยาบาล มก.",,
ตกท่อ,milize@gmail.com,อุบัติเหตุ,"in queue",18/10/2565,04:26:36,หน้าศร.3,"ตกท่อ_2022-10-18_1666041996240.jpg","สถานพยาบาล มก.",,
ชนตัวเงินตัวทอง,milize@gmail.com,อุบัติเหตุ,"in queue",18/10/2565,04:31:30,"บริเวณLoving way","ชนตัวเงินตัวทอง_2022-10-18_1666042290369.jpg","สถานพยาบาล มก.",,
ตารางเรียนชนกัน,milize@gmail.com,การเรียนการสอน,"in queue",18/10/2565,04:36:38,"สแตทชนกับแคลวันพฤหัสช่วงเที่ยง|แคลคูลัส สแตท|อาจารย์กันตภณ ประxxxx และ อาจารย์จุฑาภรณ์ xxxxxx",,ฝ่ายวิชาการและแผนงาน,,
ไม่สามารถติดต่อที่ปรึกษา,milize@gmail.com,การเรียนการสอน,"in queue",18/10/2565,04:38:26,"ไม่สามารถติดต่อที่ปรึกษาได้เลยสักช่องทาง|-----|อาจารย์สุริษา",,ฝ่ายวิชาการและแผนงาน,,
งานเยอะเกินจำเป็น,milize@gmail.com,การเรียนการสอน,"in queue",18/10/2565,04:40:55,"มีงานจากหลายวิชามาพร้อมๆกันมากเกินไป|Plants for Value of Life Creation สแตท|อาจารย์พุฐิพง อาจารย์ธนดล",,ฝ่ายวิชาการและแผนงาน,,
เสียงการเรียนไม่ชัด,milize@gmail.com,การเรียนการสอน,"in queue",18/10/2565,04:43:05,"ตอนเรียนออนไลน์เสียงมีความไม่ชัดเจน|Radiation, Life and Environment|อาจารย์จิรภัทร",,ฝ่ายวิชาการและแผนงาน,,
เวลาเรียนไม่เหมาะสม,milize@gmail.com,การเรียนการสอน,"in queue",18/10/2565,04:48:00,"ช่วงว่างระหว่างวันมากเกินไป เช่น เรียนเริ่ม 8โมงแต่เลิก 6โมงเย็นทั้งที่ช่วงระหว่างวันหว่างทั้งวัน|จาวาและData structure (เรื่องสมมุตินะครับ)|อาจารย์รัชพล อาจารย์หินซุย",,ฝ่ายวิชาการและแผนงาน,,
นิสิตตีกัน,milize@gmail.com,ความรุนแรง,"in queue",18/10/2565,04:50:19,"นิสิตคณะวิทย์ไล่ตีกันด้วยคีย์บอร์ด|ตึกSC45|ไม่ทราบ",,หน่วยงานรักษาความปลอดภัย,,
นักเรียนคณะวิทย์ตบกัน,milize@gmail.com,ความรุนแรง,"in queue",18/10/2565,04:53:35,"มีนักศึกษาหญิงตบกัน|SC45|คาดว่าเป็นสาขาวิทย์คอม",,หน่วยงานรักษาความปลอดภัย,,
วินมอไซต์ตีกัน,milize@gmail.com,ความรุนแรง,"in queue",18/10/2565,04:54:59,"วิทเสื้อชทพูและเขียวตีกันแย่งลูกค้า|ทางออกBTS|ไม่ทราบ",,หน่วยงานรักษาความปลอดภัย,,
พบคนทารุณสัตว์,milize@gmail.com,ความรุนแรง,"in queue",18/10/2565,04:56:52,"มีคนเอาไม้ไล่ตีตัวเงินตัวทอง|ระหว่างทางเดินไปบาร์ใหม่แถวๆหน้าคณะวิสวะ|ไม่มี",,หน่วยงานรักษาความปลอดภัย,,
"พบคนเอาหนังสติ๊กมายิงสัตว์",milize@gmail.com,ความรุนแรง,"in queue",18/10/2565,04:58:50,"เห็นคนเอาหนังสติ๊กมายิงกระรอกและนกในมหาลัย|แถวคณะเกษตร|ไม่มี",,หน่วยงานรักษาความปลอดภัย,,
